soak begin url=http://127.0.0.1:56693/live/party/index.m3u8 label=release-273-direct target=2.000s minutes=10 print=5.0s position=0.25s build=main-2521c68 started=2026-09-16T08:22:25.959Z
soak legend latency=edge+attach edge=playlist staleness attach=distance the player chose from the live edge
soak t=005s pos=12.65s latency=2.27s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=010s pos=17.65s latency=2.27s edge=-0.42s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=015s pos=22.65s latency=2.27s edge=-0.53s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=020s pos=27.65s latency=2.27s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=025s pos=32.65s latency=2.27s edge=-0.41s attach=2.68s mode=low-latency recommended=3.00s status=ready ok
soak t=030s pos=37.65s latency=2.27s edge=-0.52s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=035s pos=42.65s latency=2.27s edge=-0.44s attach=2.71s mode=low-latency recommended=3.00s status=ready ok
soak t=040s pos=47.65s latency=2.27s edge=-0.55s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=045s pos=52.65s latency=2.27s edge=-0.49s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=050s pos=57.65s latency=2.27s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=055s pos=62.65s latency=2.27s edge=-0.54s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=060s pos=67.65s latency=2.27s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=065s pos=72.65s latency=2.27s edge=-0.41s attach=2.68s mode=low-latency recommended=3.00s status=ready ok
soak t=070s pos=77.65s latency=2.27s edge=-0.53s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=075s pos=82.65s latency=2.27s edge=-0.45s attach=2.72s mode=low-latency recommended=3.00s status=ready ok
soak t=080s pos=87.65s latency=2.27s edge=-0.56s attach=2.82s mode=low-latency recommended=3.00s status=ready ok
soak t=085s pos=92.65s latency=2.27s edge=-0.50s attach=2.76s mode=low-latency recommended=3.00s status=ready ok
soak t=090s pos=97.65s latency=2.27s edge=-0.44s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=095s pos=102.65s latency=2.27s edge=-0.49s attach=2.76s mode=low-latency recommended=3.00s status=ready ok
soak t=100s pos=107.65s latency=2.27s edge=-0.43s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=105s pos=112.65s latency=2.26s edge=-0.54s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=110s pos=117.65s latency=2.27s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=115s pos=122.65s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=120s pos=127.65s latency=2.26s edge=-0.53s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=125s pos=132.65s latency=2.26s edge=-0.47s attach=2.73s mode=low-latency recommended=3.00s status=ready ok
soak t=130s pos=137.65s latency=2.26s edge=-0.41s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=135s pos=142.65s latency=2.26s edge=-0.51s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=140s pos=147.65s latency=2.26s edge=-0.45s attach=2.71s mode=low-latency recommended=3.00s status=ready ok
soak t=145s pos=152.65s latency=2.26s edge=-0.39s attach=2.65s mode=low-latency recommended=3.00s status=ready ok
soak t=150s pos=157.65s latency=2.26s edge=-0.50s attach=2.76s mode=low-latency recommended=3.00s status=ready ok
soak t=155s pos=162.65s latency=2.26s edge=-0.44s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=160s pos=167.65s latency=2.26s edge=-0.54s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=165s pos=172.65s latency=2.26s edge=-0.48s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=170s pos=177.65s latency=2.26s edge=-0.42s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=175s pos=182.65s latency=2.26s edge=-0.53s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=180s pos=187.65s latency=2.26s edge=-0.47s attach=2.73s mode=low-latency recommended=3.00s status=ready ok
soak t=185s pos=192.65s latency=2.26s edge=-0.40s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=190s pos=197.65s latency=2.26s edge=-0.51s attach=2.77s mode=low-latency recommended=3.00s status=ready ok
soak t=195s pos=202.65s latency=2.26s edge=-0.44s attach=2.71s mode=low-latency recommended=3.00s status=ready ok
soak t=200s pos=207.65s latency=2.26s edge=-0.55s attach=2.82s mode=low-latency recommended=3.00s status=ready ok
soak t=205s pos=212.65s latency=2.26s edge=-0.49s attach=2.76s mode=low-latency recommended=3.00s status=ready ok
soak t=210s pos=217.65s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=215s pos=222.65s latency=2.26s edge=-0.54s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=220s pos=227.65s latency=2.26s edge=-0.48s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=225s pos=232.65s latency=2.26s edge=-0.41s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=230s pos=237.65s latency=2.26s edge=-0.52s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=235s pos=242.65s latency=2.26s edge=-0.46s attach=2.73s mode=low-latency recommended=3.00s status=ready ok
soak t=240s pos=247.65s latency=2.26s edge=-0.40s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=245s pos=252.65s latency=2.26s edge=-0.51s attach=2.77s mode=low-latency recommended=3.00s status=ready ok
soak t=250s pos=257.65s latency=2.26s edge=-0.45s attach=2.71s mode=low-latency recommended=3.00s status=ready ok
soak t=255s pos=262.65s latency=2.26s edge=-0.56s attach=2.82s mode=low-latency recommended=3.00s status=ready ok
soak t=260s pos=267.65s latency=2.26s edge=-0.50s attach=2.77s mode=low-latency recommended=3.00s status=ready ok
soak t=265s pos=272.65s latency=2.26s edge=-0.44s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=270s pos=277.65s latency=2.26s edge=-0.55s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=275s pos=282.65s latency=2.26s edge=-0.49s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=280s pos=287.65s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=285s pos=292.65s latency=2.26s edge=-0.54s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=290s pos=297.65s latency=2.26s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=295s pos=302.65s latency=2.26s edge=-0.41s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=300s pos=307.65s latency=2.26s edge=-0.52s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=305s pos=312.65s latency=2.26s edge=-0.45s attach=2.72s mode=low-latency recommended=3.00s status=ready ok
